date,mass_kg
19/09/2019,84.8
20/09/2019,84.7
22/09/2019,84.9
23/09/2019,85.5
24/09/2019,85.9
05/10/2019,84.4
09/10/2019,85.7
21/10/2019,85.4
31/10/2019,90.2
07/11/2019,89.3
10/11/2019,91
14/11/2019,90.6
17/11/2019,90.2
18/11/2019,90
21/11/2019,90.5
25/11/2019,91.6
28/11/2019,91
29/11/2019,90.7
30/11/2019,90.7
01/12/2019,91.4
09/12/2019,91.4
17/12/2019,91.1
18/12/2019,91.5
14/02/2020,96
22/02/2020,95.4
29/05/2020,97.3
02/06/2020,98.1
28/07/2020,96.1
30/07/2020,98.5
09/08/2020,97.7
10/08/2020,97.4
27/08/2020,97
19/09/2020,98.8
07/10/2020,99.1
16/10/2020,100.9
24/10/2020,100.5
29/10/2020,100
01/11/2020,99.1
02/11/2020,100.9
03/11/2020,99.8
05/11/2020,100.9
12/11/2020,100.5
13/11/2020,99
15/11/2020,100.1
16/11/2020,99.7
24/11/2020,98.1
29/11/2020,98.2
30/11/2020,97.1
06/12/2020,97
10/12/2020,98.2
16/12/2020,97.9
20/12/2020,99.6
08/01/2021,99.9
13/01/2021,99.9
15/01/2021,100
16/01/2021,101.1
17/01/2021,101
24/01/2021,99.3
27/01/2021,99.6
28/01/2021,99.8
29/01/2021,100
13/02/2021,100
14/02/2021,100
15/02/2021,100
17/02/2021,99.6
18/02/2021,99.5
19/02/2021,99.8
20/02/2021,98.5
21/02/2021,99
22/02/2021,98.6
24/02/2021,98.7
25/02/2021,98.2
02/03/2021,96.7
12/03/2021,96.9
13/03/2021,96.3
05/04/2021,95.4
21/04/2021,96.2
23/04/2021,95.6
02/05/2021,97.6
07/05/2021,97.3
13/05/2021,97.3
01/06/2021,96.2
03/06/2021,96.4
06/06/2021,96.2
07/06/2021,96.5
08/06/2021,96
09/06/2021,97.1
10/06/2021,95.7
11/06/2021,95.5
12/06/2021,95.4
13/06/2021,95.9
14/06/2021,95.7
15/06/2021,95.2
16/06/2021,94.6
17/06/2021,94.9
18/06/2021,95.3
19/06/2021,95.2
21/06/2021,95.5
22/06/2021,95.1
23/06/2021,94.5
24/06/2021,94.5
25/06/2021,95
26/06/2021,94.7
27/06/2021,94.7
28/06/2021,94.8
29/06/2021,95.1
30/06/2021,95.3
01/07/2021,94.7
02/07/2021,94
03/07/2021,95.2
04/07/2021,95
05/07/2021,95.6
06/07/2021,94.9
07/07/2021,94.7
08/07/2021,94.6
09/07/2021,94.1
10/07/2021,94.2
11/07/2021,94.6
13/07/2021,94.1
14/07/2021,94.4
16/07/2021,94.9
18/07/2021,95.4
19/07/2021,95.8
20/07/2021,95.3
21/07/2021,95.1
22/07/2021,94.3
23/07/2021,94.3
24/07/2021,94.5
25/07/2021,94.1
26/07/2021,94.3
27/07/2021,94.3
28/07/2021,94.1
29/07/2021,94.2
30/07/2021,94.2
31/07/2021,94.1
01/08/2021,93
02/08/2021,93.1
03/08/2021,93.2
04/08/2021,92.4
05/08/2021,92.6
06/08/2021,93.8
07/08/2021,93.3
08/08/2021,92.7
09/08/2021,92.7
10/08/2021,92.5
11/08/2021,92.4
12/08/2021,93.1
13/08/2021,93.2
16/08/2021,93.2
17/08/2021,92.4
18/08/2021,93.2
19/08/2021,92.7
20/08/2021,93.3
22/08/2021,93.5
23/08/2021,92.4
24/08/2021,92.3
25/08/2021,92.2
26/08/2021,93.2
28/08/2021,93.1
30/08/2021,92.5
31/08/2021,92.7
01/09/2021,92.4
02/09/2021,92.4
03/09/2021,92
04/09/2021,91.6
05/09/2021,91.9
06/09/2021,92.4
07/09/2021,91.9
08/09/2021,91.7
09/09/2021,91.6
10/09/2021,92.2
11/09/2021,93.5
12/09/2021,92.2
13/09/2021,92
14/09/2021,91.5
15/09/2021,91.7
16/09/2021,91.3
17/09/2021,91.9
18/09/2021,91.2
19/09/2021,91.8
20/09/2021,92.6
21/09/2021,92.6
22/09/2021,93.1
23/09/2021,93.6
24/09/2021,92.7
25/09/2021,92.9
26/09/2021,93.1
27/09/2021,93.6
28/09/2021,93.9
30/09/2021,94
01/10/2021,93.7
02/10/2021,94
03/10/2021,95.8
04/10/2021,95.2
05/10/2021,94.5
06/10/2021,94.7
07/10/2021,94.4
08/10/2021,94.5
10/10/2021,93.8
11/10/2021,93.3
12/10/2021,93.5
13/10/2021,92.9
14/10/2021,93.3
15/10/2021,93.8
16/10/2021,93.4
17/10/2021,93.9
18/10/2021,94.2
19/10/2021,93.3
20/10/2021,92.8
21/10/2021,93.2
22/10/2021,93.4
26/10/2021,93.2
27/10/2021,93.1
28/10/2021,93.6
29/10/2021,93.7
30/10/2021,93.7
31/10/2021,93.5
01/11/2021,93.8
02/11/2021,93.7
08/11/2021,96
17/11/2021,95.9
22/11/2021,96.7
23/11/2021,96.3
24/11/2021,96.1
25/11/2021,96.5
26/11/2021,96
27/11/2021,96
28/11/2021,97.1
29/11/2021,96.6
30/11/2021,96
01/12/2021,95.5
02/12/2021,94.9
03/12/2021,95.1
04/12/2021,94.7
05/12/2021,94.6
10/12/2021,93.4
11/12/2021,93.6
15/12/2021,93.6
16/12/2021,92.6
17/12/2021,91.9
18/12/2021,91.4
19/12/2021,91
20/12/2021,90.6
21/12/2021,89.9
22/12/2021,92.1
23/12/2021,91.2
24/12/2021,90.7
28/12/2021,90.9
29/12/2021,90.5
03/01/2022,91.5
04/01/2022,91.2
05/01/2022,90.6
06/01/2022,90.5
09/01/2022,91
10/01/2022,91.2
11/01/2022,92.2
12/01/2022,92.3
13/01/2022,91.5
14/01/2022,91.9
17/01/2022,92
18/01/2022,91.5
